year,month,state_code,deaths
1994,7,VIC,29
1994,7,WA,20
1994,8,ACT,1
1994,8,NSW,38
1994,8,NT,7
1994,8,QLD,34
1994,8,SA,9
1994,8,TAS,4
1994,8,VIC,37
1994,8,WA,17
1994,9,ACT,2
1994,9,NSW,43
1994,9,NT,2
1994,9,QLD,32
1994,9,SA,15
1994,9,TAS,5
1994,9,VIC,17
1994,9,WA,25
1994,10,ACT,1
1994,10,NSW,73
1994,10,NT,1
1994,10,QLD,59
1994,10,SA,11
1994,10,TAS,5
1994,10,VIC,27
1994,10,WA,22
1994,11,ACT,1
1994,11,NSW,69
1994,11,NT,4
1994,11,QLD,38
1994,11,SA,16
1994,11,TAS,3
1994,11,VIC,31
1994,11,WA,22
1994,12,ACT,1
1994,12,NSW,63
1994,12,NT,4
1994,12,QLD,39
1994,12,SA,10
1994,12,TAS,5
1994,12,VIC,30
1994,12,WA,17
1995,1,NSW,38
1995,1,NT,2
1995,1,QLD,40
1995,1,SA,18
1995,1,TAS,4
1995,1,VIC,38
1995,1,WA,20
1995,2,NSW,50
1995,2,NT,5
1995,2,QLD,32
1995,2,SA,9
1995,2,TAS,3
1995,2,VIC,35
1995,2,WA,22
1995,3,NSW,61
1995,3,NT,3
1995,3,QLD,38
1995,3,SA,11
1995,3,TAS,8
1995,3,VIC,26
1995,3,WA,14
1995,4,NSW,46
1995,4,NT,9
1995,4,QLD,27
1995,4,SA,14
1995,4,TAS,8
1995,4,VIC,33
1995,4,WA,13
1995,5,ACT,1
1995,5,NSW,48
1995,5,NT,5
1995,5,QLD,45
1995,5,SA,17
1995,5,TAS,7
1995,5,VIC,34
1995,5,WA,15
1995,6,ACT,1
1995,6,NSW,57
1995,6,NT,9
1995,6,QLD,42
1995,6,SA,16
1995,6,TAS,3
1995,6,VIC,41
1995,6,WA,18
1995,7,ACT,3
1995,7,NSW,51
1995,7,NT,4
1995,7,QLD,41
1995,7,SA,7
1995,7,TAS,4
1995,7,VIC,27
1995,7,WA,18
1995,8,NSW,53
1995,8,NT,5
1995,8,QLD,33
1995,8,SA,19
1995,8,TAS,8
1995,8,VIC,34
1995,8,WA,15
1995,9,ACT,3
1995,9,NSW,41
1995,9,NT,2
1995,9,QLD,43
1995,9,SA,16
1995,9,TAS,6
1995,9,VIC,34
1995,9,WA,21
1995,10,ACT,2
1995,10,NSW,60
1995,10,NT,5
1995,10,QLD,41
1995,10,SA,26
1995,10,VIC,32
1995,10,WA,21
1995,11,ACT,1
1995,11,NSW,59
1995,11,NT,2
1995,11,QLD,39
1995,11,SA,15
1995,11,TAS,4
1995,11,VIC,38
1995,11,WA,17
1995,12,ACT,4
1995,12,NSW,56
1995,12,NT,10
1995,12,QLD,35
1995,12,SA,13
1995,12,TAS,2
