year,state_code,remoteness,crashes,deaths
2022,NSW,Inner Regional Australia,99,109
2022,NSW,Major Cities of Australia,100,102
2022,NSW,Outer Regional Australia,55,60
2022,NSW,Remote Australia,6,6
2022,NSW,Very Remote Australia,3,4
2022,NT,Outer Regional Australia,13,16
2022,NT,Remote Australia,13,14
2022,NT,Unknown,1,1
2022,NT,Very Remote Australia,13,16
2022,QLD,Inner Regional Australia,79,85
2022,QLD,Major Cities of Australia,100,106
2022,QLD,Outer Regional Australia,69,78
2022,QLD,Remote Australia,19,19
2022,QLD,Very Remote Australia,8,9
2022,SA,Inner Regional Australia,14,14
2022,SA,Major Cities of Australia,26,27
2022,SA,Outer Regional Australia,19,21
2022,SA,Remote Australia,6,6
2022,SA,Very Remote Australia,3,3
2022,TAS,Inner Regional Australia,21,24
2022,TAS,Outer Regional Australia,23,26
2022,TAS,Very Remote Australia,1,1
2022,VIC,Inner Regional Australia,101,101
2022,VIC,Major Cities of Australia,107,107
2022,VIC,Outer Regional Australia,24,26
2022,VIC,Remote Australia,1,1
2022,VIC,Unknown,5,5
2022,WA,Unknown,161,175
2023,ACT,Major Cities of Australia,1,1
2023,ACT,Unknown,1,1
2023,NSW,Inner Regional Australia,111,129
2023,NSW,Major Cities of Australia,96,102
2023,NSW,Outer Regional Australia,55,60
2023,NSW,Remote Australia,5,5
2023,NSW,Very Remote Australia,2,2
2023,NT,Outer Regional Australia,4,4
2023,NT,Remote Australia,1,1
2023,NT,Very Remote Australia,3,3
2023,QLD,Inner Regional Australia,82,91
2023,QLD,Major Cities of Australia,70,70
2023,QLD,Outer Regional Australia,51,52
2023,QLD,Remote Australia,8,8
2023,QLD,Very Remote Australia,7,8
2023,SA,Inner Regional Australia,21,21
2023,SA,Major Cities of Australia,41,41
2023,SA,Outer Regional Australia,21,24
2023,SA,Remote Australia,4,5
2023,SA,Very Remote Australia,4,5
2023,TAS,Inner Regional Australia,13,13
2023,TAS,Outer Regional Australia,14,14
2023,TAS,Remote Australia,1,1
2023,VIC,Inner Regional Australia,42,52
2023,VIC,Major Cities of Australia,49,52
2023,VIC,Outer Regional Australia,16,17
2023,VIC,Unknown,40,44
