year,state_code,speed_band,crashes,deaths
1996,VIC,90,6,6
1996,VIC,≤50,5,5
1996,WA,100,6,6
1996,WA,110+,94,115
1996,WA,60,79,83
1996,WA,70–80,30,32
1996,WA,90,11,11
1997,ACT,≤50,17,17
1997,NSW,100,168,190
1997,NSW,110+,42,49
1997,NSW,60,217,227
1997,NSW,70–80,85,92
1997,NSW,90,11,16
1997,NSW,≤50,2,2
1997,NT,100,3,3
1997,NT,60,9,9
1997,NT,70–80,10,10
1997,NT,≤50,34,38
1997,QLD,100,157,182
1997,QLD,110+,6,6
1997,QLD,60,115,123
1997,QLD,70–80,41,47
1997,QLD,90,1,1
1997,QLD,≤50,1,1
1997,SA,100,31,37
1997,SA,110+,40,57
1997,SA,60,46,47
1997,SA,70–80,6,7
1997,TAS,100,23,26
1997,TAS,110+,3,3
1997,TAS,60,2,2
1997,TAS,70–80,1,1
1997,VIC,100,164,185
1997,VIC,110+,9,11
1997,VIC,60,108,112
1997,VIC,70–80,61,65
1997,VIC,90,2,2
1997,VIC,≤50,2,2
1997,WA,100,6,6
1997,WA,110+,76,82
1997,WA,60,57,58
1997,WA,70–80,35,36
1997,WA,90,8,13
1997,WA,≤50,2,2
1998,ACT,≤50,20,22
1998,NSW,100,175,209
1998,NSW,110+,28,38
1998,NSW,60,191,204
1998,NSW,70–80,82,90
1998,NSW,90,13,13
1998,NSW,≤50,2,2
1998,NT,100,5,6
1998,NT,60,6,6
1998,NT,70–80,12,14
1998,NT,90,1,1
1998,NT,≤50,35,42
1998,QLD,100,116,133
1998,QLD,110+,14,14
1998,QLD,60,75,78
1998,QLD,70–80,45,47
1998,QLD,90,1,1
1998,QLD,≤50,6,6
1998,SA,100,27,27
1998,SA,110+,44,51
1998,SA,60,52,58
1998,SA,70–80,20,22
1998,SA,90,5,6
1998,SA,≤50,4,4
1998,TAS,100,29,30
1998,TAS,110+,3,3
1998,TAS,60,13,13
1998,TAS,70–80,2,2
1998,VIC,100,140,167
1998,VIC,110+,8,8
1998,VIC,60,120,129
1998,VIC,70–80,78,84
1998,VIC,90,2,2
1998,WA,100,6,6
1998,WA,110+,77,90
1998,WA,60,60,61
1998,WA,70–80,34,37
1998,WA,90,20,27
1998,WA,≤50,2,2
1999,ACT,≤50,17,19
1999,NSW,100,169,207
1999,NSW,110+,39,48
1999,NSW,60,175,182
1999,NSW,70–80,103,119
1999,NSW,90,12,13
1999,NSW,≤50,8,8
1999,NT,100,3,3
1999,NT,110+,1,1
1999,NT,60,8,8
1999,NT,70–80,11,11
1999,NT,≤50,21,26
1999,QLD,100,113,135
1999,QLD,110+,4,6
1999,QLD,60,84,94
1999,QLD,70–80,59,65
1999,QLD,90,3,3
1999,QLD,≤50,10,11
1999,SA,100,23,24
1999,SA,110+,46,59
