year,state_code,crash_type,crashes,deaths
2011,NT,Multiple,12,14
2011,NT,Single,26,31
2011,QLD,Multiple,108,132
2011,QLD,Single,119,137
2011,SA,Multiple,41,47
2011,SA,Single,54,56
2011,TAS,Multiple,15,15
2011,TAS,Single,8,9
2011,VIC,Multiple,109,127
2011,VIC,Single,150,160
2011,WA,Multiple,54,60
2011,WA,Single,113,119
2012,ACT,Multiple,3,3
2012,ACT,Single,9,9
2012,NSW,Multiple,157,177
2012,NSW,Single,179,192
2012,NT,Multiple,18,22
2012,NT,Single,22,27
2012,QLD,Multiple,123,142
2012,QLD,Single,132,138
2012,SA,Multiple,38,44
2012,SA,Single,48,50
2012,TAS,Multiple,19,21
2012,TAS,Single,10,10
2012,VIC,Multiple,119,133
2012,VIC,Single,142,149
2012,WA,Multiple,61,69
2012,WA,Single,110,114
2013,ACT,Multiple,2,2
2013,ACT,Single,5,5
2013,NSW,Multiple,132,142
2013,NSW,Single,184,191
2013,NT,Multiple,12,12
2013,NT,Single,21,25
2013,QLD,Multiple,99,117
2013,QLD,Single,147,154
2013,SA,Multiple,37,41
2013,SA,Single,53,57
2013,TAS,Multiple,18,19
2013,TAS,Single,17,17
2013,VIC,Multiple,111,122
2013,VIC,Single,114,121
2013,WA,Multiple,48,53
2013,WA,Single,100,108
2014,ACT,Multiple,5,5
2014,ACT,Single,5,5
2014,NSW,Multiple,133,146
2014,NSW,Single,152,161
2014,NT,Multiple,15,19
2014,NT,Single,19,20
2014,QLD,Multiple,83,98
2014,QLD,Single,116,125
2014,SA,Multiple,40,50
2014,SA,Single,56,58
2014,TAS,Multiple,15,16
2014,TAS,Single,16,17
2014,VIC,Multiple,107,126
2014,VIC,Single,116,122
2014,WA,Multiple,64,71
2014,WA,Single,108,111
2015,ACT,Multiple,10,11
2015,ACT,Single,4,4
2015,NSW,Multiple,148,169
2015,NSW,Single,178,181
2015,NT,Multiple,10,13
2015,NT,Single,32,36
2015,QLD,Multiple,81,94
