year,month,state_code,deaths,erp,rate_per_100k
2021,4,TAS,6,1.73,346820.8092485549
2021,4,VIC,14,6547822.0,0.2138115544374908
2021,4,VIC,14,-1.02,-1372549.0196078431
2021,4,VIC,14,-67224.0,-20.82589551350708
2021,4,WA,12,2749365.0,0.4364644199660649
2021,4,WA,12,36453.0,32.91910130853427
2021,4,WA,12,1.34,895522.3880597014
2021,5,NSW,21,-0.17,-12352941.176470587
2021,5,NSW,21,8097062.0,0.2593533308748284
2021,5,NSW,21,-13548.0,-155.0044286979628
2021,5,NT,4,0.29,1379310.3448275863
2021,5,NT,4,248151.0,1.6119217734363351
2021,5,NT,4,723.0,553.2503457814662
2021,5,QLD,16,0.97,1649484.5360824745
2021,5,QLD,16,50201.0,31.871875062249753
2021,5,QLD,16,5215814.0,0.3067594051474995
2021,5,SA,5,1802601.0,0.27737696805893264
2021,5,SA,5,12246.0,40.82965866405357
2021,5,SA,5,0.68,735294.1176470588
2021,5,TAS,3,9661.0,31.05268605734396
2021,5,TAS,3,567239.0,0.5288775983315674
2021,5,TAS,3,1.73,173410.40462427746
2021,5,VIC,14,6547822.0,0.2138115544374908
2021,5,VIC,14,-1.02,-1372549.0196078431
2021,5,VIC,14,-67224.0,-20.82589551350708
2021,5,WA,16,2749365.0,0.5819525599547531
2021,5,WA,16,36453.0,43.892135078045705
2021,5,WA,16,1.34,1194029.8507462686
2021,6,ACT,1,1.71,58479.53216374269
2021,6,ACT,1,7605.0,13.149243918474687
2021,6,ACT,1,452508.0,0.22099056812255255
2021,6,NSW,29,-0.17,-17058823.529411763
2021,6,NSW,29,8097062.0,0.35815459977952496
2021,6,NSW,29,-13548.0,-214.0537348686153
2021,6,NT,6,0.29,2068965.5172413792
2021,6,NT,6,248151.0,2.4178826601545027
2021,6,NT,6,723.0,829.8755186721992
2021,6,QLD,26,0.97,2680412.371134021
2021,6,QLD,26,50201.0,51.79179697615585
2021,6,QLD,26,5215814.0,0.4984840333646867
2021,6,SA,8,1802601.0,0.4438031488942922
2021,6,SA,8,12246.0,65.32745386248571
2021,6,SA,8,0.68,1176470.588235294
2021,6,TAS,2,9661.0,20.701790704895974
2021,6,TAS,2,567239.0,0.3525850655543783
2021,6,TAS,2,1.73,115606.93641618498
2021,6,VIC,20,6547822.0,0.305445077767844
2021,6,VIC,20,-1.02,-1960784.3137254904
2021,6,VIC,20,-67224.0,-29.751279305010115
2021,6,WA,12,2749365.0,0.4364644199660649
2021,6,WA,12,36453.0,32.91910130853427
2021,6,WA,12,1.34,895522.3880597014
2021,7,ACT,1,1.72,58139.53488372093
2021,7,ACT,1,7649.0,13.073604392731077
2021,7,ACT,1,453398.0,0.22055677351907155
2021,7,NSW,18,-0.03,-60000000.0
2021,7,NSW,18,8096719.0,0.22231227241553028
2021,7,NSW,18,-2186.0,-823.4217749313815
2021,7,NT,5,0.69,724637.6811594203
2021,7,NT,5,249465.0,2.0042891788427237
2021,7,NT,5,1710.0,292.39766081871346
2021,7,QLD,32,1.1,2909090.909090909
2021,7,QLD,32,56958.0,56.18174795463324
2021,7,QLD,32,5230029.0,0.611851291837961
2021,7,SA,9,1803789.0,0.4989497108586426
2021,7,SA,9,11611.0,77.51270347084662
2021,7,SA,9,0.65,1384615.3846153845
2021,7,TAS,7,8402.0,83.3134967864794
2021,7,TAS,7,567829.0,1.2327654980636777
2021,7,TAS,7,1.5,466666.6666666667
2021,7,VIC,20,6543116.0,0.30566476278274757
2021,7,VIC,20,-0.73,-2739726.02739726
2021,7,VIC,20,-48321.0,-41.38987189834647
2021,7,WA,15,2755583.0,0.544349417165079
2021,7,WA,15,35582.0,42.156146366140185
2021,7,WA,15,1.31,1145038.1679389314
2021,8,ACT,1,1.72,58139.53488372093
2021,8,ACT,1,7649.0,13.073604392731077
2021,8,ACT,1,453398.0,0.22055677351907155
2021,8,NSW,16,-0.03,-53333333.333333336
2021,8,NSW,16,8096719.0,0.1976109088138047
